"fiscal_year","month","total","cuba","venezuela","mexico","haiti","honduras","russia","colombia","el_salvador","guatemala","chile","other"
"2023","Total","278430","26030","57380","58770","55380","20780","20950","4070","5430","3940","5210","20500"
"2023","October","X","X","X","X","X","X","X","X","X","X","X","X"
"2023","November","X","X","X","X","X","X","X","X","X","X","X","X"
"2023","December","X","X","X","X","X","X","X","X","X","X","X","X"
"2023","January","10380","260","5630","1290","540","350","1820","120","80","60","20","220"
"2023","February","21230","670","4130","1530","7690","870","4420","120","210","140","230","1220"
"2023","March","24970","1280","5280","4680","4290","1790","3650","300","380","330","480","2520"
"2023","April","22850","1310","4900","2740","7070","1030","2270","250","260","200","810","2000"
"2023","May","27190","1830","3960","6410","4490","2790","2730","210","670","480","550","3080"
"2023","June","37150","2360","6400","10920","6950","4000","1050","570","1090","730","800","2270"
"2023","July","44800","3020","6840","13380","10960","2740","1570","650","830","530","1160","3120"
"2023","August","45810","5440","8870","10690","8770","3330","2000","860","1010","640","790","3400"
"2023","September","44050","9860","11350","7120","4640","3880","1440","1000","900","840","370","2650"
"2024 YTD","Total","312630","87530","65600","50080","55930","17120","5720","6380","4510","4740","2170","12850"
"2024 YTD","October","45480","11410","11320","7430","4450","3990","1550","880","970","790","230","2470"
"2024 YTD","November","44210","12940","11300","7250","5220","2440","1000","850","680","720","190","1610"
"2024 YTD","December","45540","12710","11260","7370","7440","1960","890","780","600","580","250","1720"
"2024 YTD","January","45440","13740","7520","7380","10340","1950","730","770","430","640","340","1600"
"2024 YTD","February","42530","13020","5740","6700","11130","1900","600","700","490","580","350","1320"
"2024 YTD","March","45480","12840","8600","7180","9200","2250","460","1150","630","670","390","2110"
"2024 YTD","April","43950","10870","9870","6780","8150","2640","480","1250","720","760","430","2020"
