"fiscal_year","month","total","mexico","nicaragua","honduras","guatemala","colombia","venezuela","cuba","ecuador","peru","el_salvador","other"
"2014","Total","183700","118000","1010","14580","14560","1200","210","1520","1390","670","11890","18680"
"2014","October","19040","12320","120","1320","1450","110","10","170","160","70","1290","2020"
"2014","November","16190","10620","90","1160","1270","100","20","130","90","50","940","1730"
"2014","December","15710","10300","60","1100","1260","110","20","120","130","60","860","1690"
"2014","January","16220","10810","100","1110","1230","100","30","130","120","70","910","1620"
"2014","February","15350","10140","80","1160","1090","110","10","130","130","50","890","1560"
"2014","March","16310","10360","80","1360","1250","120","10","130","130","60","1130","1660"
"2014","April","16530","10370","110","1390","1310","110","20","150","140","60","1240","1640"
"2014","May","15120","9450","100","1510","1160","80","20","130","120","40","1050","1460"
"2014","June","13870","8340","80","1420","1210","100","20","100","110","60","990","1450"
"2014","July","13490","8600","80","1120","1140","90","10","110","90","40","920","1290"
"2014","August","12770","8340","50","870","1080","100","10","130","80","50","820","1230"
"2014","September","13120","8350","70","1060","1120","90","20","90","90","50","870","1330"
"2015","Total","119770","77870","520","8320","9330","1000","140","1040","790","390","7350","13030"
"2015","October","12820","8150","70","1030","1040","90","10","120","110","40","800","1360"
"2015","November","9730","6460","40","700","720","80","10","80","90","20","580","950"
"2015","December","9230","6020","50","720","760","90","10","80","60","30","490","940"
"2015","January","8550","5790","40","530","600","60","10","100","40","20","440","940"
"2015","February","8360","5540","30","560","600","80","0","70","50","30","470","920"
"2015","March","11700","7710","50","720","820","110","20","80","90","40","660","1410"
"2015","April","10570","6810","40","720","850","90","20","90","60","50","660","1190"
"2015","May","9650","6130","30","670","840","100","10","80","50","50","650","1050"
"2015","June","10560","6660","60","770","810","80","20","100","60","30","710","1270"
"2015","July","9670","6000","40","710","870","80","20","70","70","40","730","1050"
"2015","August","9400","6360","30","550","660","70","10","80","50","30","580","970"
"2015","September","9530","6240","40","650","770","80","10","80","70","30","590","980"
"2016","Total","110100","70940","420","7640","9100","870","140","1020","660","330","6770","12210"
"2016","October","10240","6720","50","630","760","120","20","110","60","20","590","1180"
"2016","November","8540","5560","30","530","680","90","10","90","60","30","520","940"
"2016","December","8780","5650","30","610","770","70","10","90","50","30","580","910"
"2016","January","8050","5240","30","570","600","40","10","60","40","30","460","960"
"2016","February","8760","5600","30","610","710","70","0","100","50","20","460","1110"
"2016","March","9670","6270","40","640","800","80","20","80","50","40","640","1030"
"2016","April","9460","6240","40","640","770","60","10","80","50","20","520","1030"
"2016","May","9650","6080","40","670","840","80","10","90","60","30","630","1140"
"2016","June","9100","5830","40","670","830","50","20","70","60","30","570","940"
"2016","July","8440","5460","40","630","640","70","10","80","50","20","550","880"
"2016","August","10120","6390","30","790","910","70","10","90","60","30","660","1080"
"2016","September","9310","5920","30","670","790","80","20","90","60","30","600","1020"
"2017","Total","143470","87490","600","11850","14240","1020","220","1710","1020","420","9260","15660"
"2017","October","9400","5720","30","810","790","60","10","70","60","30","660","1170"
"2017","November","9020","5600","40","720","850","90","10","80","80","20","610","930"
"2017","December","9000","5500","40","700","840","80","20","90","80","20","650","980"
"2017","January","9580","5970","40","760","870","70","10","70","80","30","630","1060"
"2017","February","11550","7170","40","950","1170","60","20","90","70","30","740","1220"
"2017","March","14080","8750","70","1150","1340","100","20","130","100","40","790","1600"
"2017","April","12370","7810","50","1020","1120","70","20","100","80","40","720","1330"
"2017","May","13530","8270","70","1070","1360","110","20","160","110","30","900","1430"
"2017","June","13970","8260","50","1150","1350","120","20","270","100","40","870","1760"
"2017","July","13570","7840","70","1250","1600","70","20","240","90","50","920","1420"
"2017","August","14360","8570","60","1230","1570","110","30","240","100","50","930","1480"
"2017","September","13050","8040","40","1050","1380","80","20","170","100","40","850","1280"
"2018","Total","158580","93790","640","13600","17640","1100","400","2100","1030","520","10120","17640"
"2018","October","14010","8360","50","1150","1520","80","20","190","100","50","940","1550"
"2018","November","13180","7890","50","1100","1410","80","30","160","90","40","910","1410"
"2018","December","12310","7370","50","1030","1350","80","30","180","70","40","740","1370"
"2018","January","13170","7790","40","1120","1440","100","30","160","80","50","820","1530"
"2018","February","13240","7900","50","1070","1370","120","30","170","90","40","830","1560"
"2018","March","13740","8010","70","1170","1620","100","30","180","80","40","880","1560"
"2018","April","13320","7890","50","1130","1430","80","30","180","90","50","830","1550"
"2018","May","14280","8280","60","1280","1700","100","50","170","80","40","950","1560"
"2018","June","13320","7850","60","1230","1470","100","50","190","100","50","840","1390"
"2018","July","12580","7420","50","1070","1390","90","40","170","80","50","860","1350"
"2018","August","13720","8120","60","1180","1550","100","30","210","90","30","820","1540"
"2018","September","11740","6920","40","1050","1400","90","30","130","80","30","700","1270"
"2019","Total","143100","81080","820","13720","18560","1050","470","2260","1140","400","9160","14450"
"2019","October","12380","7230","80","1090","1450","90","30","190","90","40","760","1350"
"2019","November","11700","6720","70","1030","1460","70","40","160","70","30","740","1330"
"2019","December","11220","6370","60","1040","1430","80","50","140","80","30","740","1200"
"2019","January","12500","7140","60","1110","1580","80","40","190","110","40","790","1370"
"2019","February","12390","7090","80","1200","1590","110","40","160","120","40","780","1180"
"2019","March","12150","6910","60","1130","1550","90","40","210","110","40","770","1240"
"2019","April","12170","6930","90","1110","1500","80","50","210","110","40","820","1230"
"2019","May","13110","6960","110","1450","1590","110","50","410","130","40","1020","1260"
"2019","June","11260","6330","60","1170","1520","100","40","190","90","20","670","1070"
"2019","July","11750","6860","50","1150","1490","80","40","130","70","30","710","1140"
"2019","August","11510","6370","70","1140","1880","70","40","150","60","20","670","1050"
"2019","September","10960","6200","50","1110","1520","80","30","120","90","30","700","1040"
"2020","Total","103600","60170","540","9950","12580","770","350","1170","700","310","6120","10940"
"2020","October","11880","6560","60","1260","1690","70","30","140","80","30","760","1200"
"2020","November","9820","5510","60","980","1290","60","40","130","50","40","630","1040"
"2020","December","10140","5720","40","1050","1350","80","30","120","70","30","620","1040"
"2020","January","12130","6790","60","1190","1610","100","40","130","100","50","740","1340"
"2020","February","11870","6580","50","1160","1570","80","40","130","100","40","790","1330"
"2020","March","10430","6050","60","1050","1260","80","40","110","80","20","630","1040"
"2020","April","5790","3820","30","480","480","40","10","60","20","10","300","540"
"2020","May","5580","3610","20","480","510","40","30","60","30","10","260","530"
"2020","June","5460","3310","30","470","550","50","20","60","30","20","300","640"
"2020","July","6250","3720","30","530","650","50","20","80","40","10","320","800"
"2020","August","7080","4290","50","610","770","50","20","80","50","20","390","750"
"2020","September","7170","4220","70","710","840","60","40","70","60","30","380","700"
"2021","Total","74080","28720","2220","10790","8720","640","2610","1450","4560","270","5270","8840"
"2021","October","7420","4430","40","700","850","70","30","90","50","30","410","730"
"2021","November","6610","3780","40","640","810","50","30","80","50","20","410","710"
"2021","December","6680","3860","30","690","760","80","40","80","90","20","370","660"
"2021","January","5910","3420","30","570","690","70","30","80","60","20","340","610"
"2021","February","2450","1370","20","190","200","30","20","50","50","10","150","370"
"2021","March","2640","1430","20","220","270","40","20","60","30","10","170","390"
"2021","April","3690","1540","60","440","460","30","210","140","60","20","240","480"
"2021","May","4830","1530","140","930","620","50","330","130","210","10","400","470"
"2021","June","7170","1760","380","1490","730","50","590","260","500","30","580","800"
"2021","July","7110","1670","440","1200","790","50","440","230","800","30","610","860"
"2021","August","8100","1880","460","1540","1030","60","330","70","1040","50","660","980"
"2021","September","11490","2050","560","2190","1520","80","550","170","1610","40","950","1780"
"2022","Total","142750","28850","10860","16490","10290","10690","17060","9260","8360","4310","6610","19980"
"2022","October","11380","1990","660","2570","1430","210","780","200","1180","80","870","1410"
"2022","November","13110","1930","670","2530","1270","230","1240","250","1310","70","940","2660"
"2022","December","8620","1660","450","1550","890","160","890","190","910","80","640","1210"
"2022","January","8490","1680","420","1200","760","270","1380","190","730","110","510","1240"
"2022","February","10240","1920","600","1280","690","520","2470","260","710","150","420","1230"
"2022","March","12690","2300","770","1350","840","1270","2010","650","920","300","590","1710"
"2022","April","11410","2440","940","1040","740","1150","1370","1040","620","260","440","1380"
"2022","May","11020","2510","800","900","670","1250","1040","1140","540","370","430","1360"
"2022","June","11950","2500","1340","880","570","1330","980","1330","430","650","390","1550"
"2022","July","12950","2900","1420","970","710","1340","1010","1220","330","720","400","1960"
"2022","August","16040","3540","1580","1250","880","1710","1930","1520","280","750","480","2120"
"2022","September","14860","3480","1220","980","850","1270","1970","1290","400","770","490","2160"
"2023","Total","170590","42850","21300","11440","9950","15060","16870","12910","7590","7900","5040","19700"
"2023","October","16630","3220","1670","1000","870","1400","2980","1630","410","880","460","2110"
"2023","November","16310","3370","2080","930","760","1530","2500","1560","530","780","430","1840"
"2023","December","15130","3240","2200","840","720","1380","1810","1430","490","960","420","1640"
"2023","January","18170","3430","3100","900","780","1960","1390","1980","1090","1100","420","2030"
"2023","February","16150","3650","2510","930","760","1800","950","1450","950","920","380","1850"
"2023","March","15900","4350","2120","1070","920","1530","1000","1190","680","680","450","1920"
"2023","April","13380","3670","1680","940","870","1180","890","900","580","560","420","1700"
"2023","May","13800","4060","1570","1050","960","1160","960","850","590","580","470","1550"
"2023","June","12690","3950","1320","1080","890","930","960","650","580","470","430","1440"
"2023","July","11610","3620","1040","950","840","790","1200","460","540","430","450","1290"
"2023","August","11190","3330","1100","920","760","760","1260","490","610","300","370","1300"
"2023","September","9630","2970","910","850","820","630","990","310","540","240","340","1030"
"2024 YTD","Total","67080","24060","6160","6950","7050","2900","3480","1750","3250","1390","2790","7300"
"2024 YTD","October","10140","3210","960","960","940","580","650","300","500","260","420","1370"
"2024 YTD","November","8950","3130","850","950","880","370","480","240","490","240","350","990"
"2024 YTD","December","9910","2970","990","1030","1050","440","980","370","570","230","390","890"
"2024 YTD","January","8580","3220","760","850","960","370","340","240","440","180","360","850"
"2024 YTD","February","9670","3670","940","990","1030","400","400","190","400","190","420","1040"
"2024 YTD","March","9610","3690","860","1020","1070","420","350","200","460","140","430","980"
"2024 YTD","April","10220","4180","810","1150","1130","320","290","210","390","150","420","1180"
