"fiscal_year","month","total","mexico","guatemala","honduras","venezuela","ecuador","colombia","el_salvador","peru","nicaragua","dominican_republic","other"
"2014","Total","425730","172560","74540","76710","270","5350","1560","59930","1370","2380","3380","27680"
"2014","October","34400","16410","5020","4890","10","540","140","3980","130","200","340","2750"
"2014","November","31990","15320","4720","4820","20","360","110","3440","110","180","310","2590"
"2014","December","33110","15070","5800","5060","20","450","160","3390","120","180","300","2560"
"2014","January","28400","13960","4810","3820","30","370","120","2520","90","140","280","2280"
"2014","February","31510","13690","5680","5100","30","440","130","3710","110","200","280","2170"
"2014","March","39460","15170","6980","7930","20","410","140","5630","100","230","310","2540"
"2014","April","43500","15830","7950","9320","30","610","140","6730","160","220","260","2270"
"2014","May","44920","14430","8370","11250","30","700","110","7240","120","240","290","2150"
"2014","June","41090","12640","7650","10000","30","470","130","7170","130","230","280","2380"
"2014","July","38110","13570","7660","6930","20","400","130","6810","110","240","230","2010"
"2014","August","31920","13200","5890","4390","20","350","150","5430","90","190","240","1970"
"2014","September","27330","13280","4020","3230","10","240","120","3890","110","150","270","2010"
"2015","Total","307340","143830","52560","34900","270","3100","1500","40260","860","1470","2760","25840"
"2015","October","28070","14080","4220","3030","20","320","140","3550","90","140","260","2240"
"2015","November","23670","11420","3860","2460","20","280","120","3100","70","110","190","2030"
"2015","December","25480","11800","5230","2710","20","270","140","2910","70","150","210","1980"
"2015","January","20440","10610","3660","1880","20","230","110","1770","40","100","220","1810"
"2015","February","20410","10320","3500","1970","10","230","90","2130","40","90","250","1790"
"2015","March","25550","12940","3880","2630","20","270","140","2800","80","110","310","2390"
"2015","April","25490","12370","4070","2760","30","240","130","3290","100","140","210","2150"
"2015","May","27470","12220","4830","3290","20","320","140","3910","90","110","230","2320"
"2015","June","28150","12460","4990","3510","30","240","120","4030","80","140","240","2320"
"2015","July","27330","11980","4830","3470","30","240","140","4050","70","140","200","2190"
"2015","August","27520","11750","4860","3600","30","240","120","4210","70","120","200","2340"
"2015","September","27760","11900","4630","3610","30","230","110","4520","80","120","240","2300"
"2016","Total","352880","134550","65760","46750","460","3200","1540","57950","920","1540","2790","37430"
"2016","October","30000","12880","4820","3800","30","230","200","5040","90","130","340","2440"
"2016","November","29290","11310","5740","3900","40","240","130","5110","70","120","290","2350"
"2016","December","34710","11620","8260","4990","30","250","140","6390","90","130","250","2560"
"2016","January","22350","9740","4050","2370","40","240","90","2840","60","100","190","2630"
"2016","February","22350","10180","3430","2330","20","200","110","2950","50","90","210","2780"
"2016","March","25820","11360","3780","2930","50","200","110","3870","90","120","220","3110"
"2016","April","28660","11720","4560","3510","30","270","120","4900","80","110","250","3120"
"2016","May","31450","11720","5630","4310","40","380","150","5500","70","140","270","3250"
"2016","June","30280","11220","5800","4120","50","370","120","4900","90","160","200","3260"
"2016","July","30240","10550","5760","4620","60","310","120","5270","50","160","160","3180"
"2016","August","33470","11230","6870","4980","40","260","120","5440","80","140","220","4080"
"2016","September","34290","11040","7060","4900","40","240","140","5750","100","150","190","4680"
"2017","Total","323590","121410","62740","43410","670","2460","1450","42460","940","1510","2600","43950"
"2017","October","36430","9860","7760","5380","40","290","130","6470","70","160","230","6060"
"2017","November","37140","9330","8810","5810","40","280","110","7170","100","180","190","5120"
"2017","December","33330","8790","7730","5600","50","260","120","6150","120","170","220","4120"
"2017","January","28300","8520","5380","4180","50","240","130","4420","70","130","210","4980"
"2017","February","23540","9660","3820","3020","40","220","110","3180","70","110","230","3080"
"2017","March","22070","11340","2680","2410","50","160","130","1940","70","130","240","2910"
"2017","April","18510","9940","2180","1820","70","120","100","1620","60","90","250","2270"
"2017","May","21520","10520","3090","2320","60","140","120","2060","60","120","190","2830"
"2017","June","23200","10830","3520","2780","60","170","140","2090","80","90","230","3220"
"2017","July","24240","10480","4860","3110","60","200","100","2260","80","120","230","2760"
"2017","August","28040","11300","6480","3580","90","200","160","2570","70","130","200","3270"
"2017","September","27270","10840","6430","3410","60","180","120","2530","100","90","180","3330"
"2018","Total","396450","139970","99750","62460","1130","2550","1580","33170","1080","3430","2400","48930"
"2018","October","30060","11460","7380","3710","60","200","100","2890","70","110","160","3910"
"2018","November","30810","11150","7980","4160","70","210","120","2890","90","130","180","3830"
"2018","December","33260","10880","10320","4230","70","180","100","2910","80","140","190","4150"
"2018","January","28020","10940","6990","3810","80","210","110","2160","80","90","280","3260"
"2018","February","28010","11570","6730","3730","80","190","160","1950","70","120","200","3230"
"2018","March","34010","12310","8920","5420","70","230","140","2480","110","160","220","3960"
"2018","April","35070","12320","8760","6240","120","250","120","2810","110","180","190","3970"
"2018","May","37650","12830","9380","6720","150","270","170","3110","100","210","220","4510"
"2018","June","34810","12030","8490","6090","130","220","150","2950","100","260","200","4210"
"2018","July","32300","11480","7040","5200","80","190","150","2660","100","430","170","4810"
"2018","August","36970","12380","8740","6690","100","200","130","3190","70","730","230","4510"
"2018","September","35490","10630","9020","6460","120","210","130","3200","110","870","180","4570"
"2019","Total","510850","121260","152250","104170","3250","6710","1660","43410","950","7890","2650","66660"
"2019","October","40550","11190","11840","7790","120","230","150","3360","70","840","230","4740"
"2019","November","44310","10160","14690","9040","190","290","130","3860","110","900","210","4750"
"2019","December","44420","9250","16100","9220","160","370","120","3160","90","690","240","5030"
"2019","January","41030","9890","13330","8230","150","520","120","2940","70","580","200","5000"
"2019","February","47100","9850","16300","11560","210","610","140","3360","80","630","190","4180"
"2019","March","55150","10170","20610","12760","200","800","160","4610","90","800","250","4700"
"2019","April","54960","9760","18230","12330","260","840","130","4860","90","760","180","7510"
"2019","May","56830","9970","18270","11950","390","930","160","5480","100","870","250","8450"
"2019","June","40370","9650","9770","7540","350","740","140","3710","40","630","220","7580"
"2019","July","33770","11030","4960","5700","380","590","180","3590","90","650","220","6400"
"2019","August","27800","10430","4270","4940","460","350","120","2550","50","300","250","4070"
"2019","September","24570","9910","3900","3110","380","430","130","1930","60","260","220","4250"
"2020","Total","182870","86690","30720","16860","1250","3910","1160","11110","490","1470","1980","27240"
"2020","October","24730","10100","4620","2810","260","370","130","1760","60","210","180","4230"
"2020","November","22370","9520","4290","1820","200","340","110","1420","60","160","190","4260"
"2020","December","23910","10200","4900","2040","170","490","120","1530","50","160","180","4080"
"2020","January","22780","10450","4260","1980","140","410","160","1370","70","150","200","3580"
"2020","February","22690","10150","4510","2170","150","480","140","1660","70","170","220","2970"
"2020","March","19390","9310","3540","2060","130","540","130","1210","50","180","190","2050"
"2020","April","8520","5260","890","670","20","280","50","400","20","50","130","760"
"2020","May","7280","4470","640","620","20","120","60","300","10","60","120","830"
"2020","June","6690","3850","620","570","20","60","50","310","20","70","150","980"
"2020","July","7540","4260","720","620","40","90","60","330","20","70","140","1210"
"2020","August","8270","4580","830","670","40","220","80","410","20","110","160","1150"
"2020","September","8720","4530","920","830","50","530","70","420","20","90","120","1150"
"2021","Total","211450","32900","10490","13110","23480","17400","3120","5140","1040","26920","2080","75780"
"2021","October","9200","4670","960","760","50","590","140","440","30","80","130","1350"
"2021","November","8060","3980","820","680","70","660","100","420","20","90","120","1090"
"2021","December","8620","4130","860","770","80","760","120","390","40","140","140","1180"
"2021","January","8140","3650","790","650","100","690","100","370","30","140","160","1450"
"2021","February","6910","1580","330","290","410","530","70","190","30","240","140","3120"
"2021","March","12420","1830","540","700","1020","860","110","270","60","590","150","6300"
"2021","April","17630","2030","880","1390","2450","1340","140","350","70","1100","180","7710"
"2021","May","22620","2000","840","1480","3590","1540","240","670","120","2140","310","9690"
"2021","June","26530","2240","980","1560","4790","2230","290","580","110","3390","160","10200"
"2021","July","26060","2170","1310","1730","2820","2560","270","610","140","7510","180","6760"
"2021","August","33040","2250","1460","1850","3950","3390","660","490","170","7890","200","10720"
"2021","September","32230","2360","720","1250","4140","2250","870","370","220","3630","210","16200"
"2022","Total","311580","34540","9930","11280","36690","11600","39270","5390","15840","48070","4900","94090"
"2022","October","28670","2270","600","950","5620","940","1400","530","640","7350","250","8110"
"2022","November","30330","2110","600","1220","7000","1070","2100","570","700","6980","270","7720"
"2022","December","30420","2020","570","760","9430","800","1890","400","560","5090","320","8590"
"2022","January","25600","1940","450","530","8150","800","1180","290","320","3320","260","8380"
"2022","February","25630","2090","510","700","1760","770","3690","290","560","5320","190","9750"
"2022","March","31040","2710","700","670","760","980","6040","380","990","6410","340","11060"
"2022","April","25410","2940","2350","2240","290","1040","4610","630","1210","2780","280","7050"
"2022","May","26130","3030","780","730","250","1190","5650","420","2790","2230","400","8670"
"2022","June","21480","3120","690","730","330","990","3760","420","2110","1520","570","7270"
"2022","July","21680","3490","800","750","530","870","3350","440","2130","2310","490","6510"
"2022","August","24780","4380","970","1070","960","1020","3700","500","2240","3200","730","6020"
"2022","September","20420","4450","930","930","1630","1140","1900","520","1580","1570","800","4970"
"2023","Total","273220","54730","17750","21640","15190","19690","34110","8920","16630","4460","13130","66970"
"2023","October","22410","4210","940","920","920","1280","4010","460","2110","640","1250","5690"
"2023","November","19070","4070","810","900","290","1470","2150","490","1220","590","1470","5620"
"2023","December","17610","4030","850","820","230","850","1100","470","860","700","970","6740"
"2023","January","22000","4030","830","840","150","1870","3150","420","1090","320","3090","6200"
"2023","February","19730","4240","900","940","140","1480","3940","400","1510","180","1960","4050"
"2023","March","22200","5040","1120","1180","180","1360","4770","510","1940","210","1190","4720"
"2023","April","18940","4400","1130","1240","760","900","3560","540","1810","200","710","3690"
"2023","May","30510","4960","3130","4010","1630","1560","4610","1570","2790","330","700","5230"
"2023","June","24040","4930","1680","2850","1890","1830","1770","920","930","240","420","6570"
"2023","July","22800","5180","1740","2960","1290","1760","1440","1240","680","230","410","5870"
"2023","August","29080","5020","2710","2890","3400","3240","1810","1160","820","330","550","7160"
"2023","September","24830","4630","1920","2100","4310","2100","1810","740","880","490","420","5430"
"2024 YTD","Total","153930","38670","21370","14430","15180","12140","9440","5360","4860","8150","3600","20720"
"2024 YTD","October","24110","4980","2010","2250","4840","1360","1570","830","750","700","400","4430"
"2024 YTD","November","17690","4450","1840","2390","1670","1050","1130","780","720","490","330","2850"
"2024 YTD","December","21080","4600","2200","2180","4040","1200","1080","730","520","1220","470","2850"
"2024 YTD","January","20540","4680","3390","2030","1870","1300","910","730","510","1760","560","2810"
"2024 YTD","February","24430","6430","5000","1840","1090","1770","1590","850","720","2230","730","2190"
"2024 YTD","March","22100","6520","3830","1610","880","2220","1660","670","570","1040","550","2560"
"2024 YTD","April","23970","7030","3100","2140","790","3240","1500","770","1080","720","570","3050"
