"fiscal_year","month","total","venezuela","colombia","mexico","honduras","ecuador","guatemala","peru","nicaragua","el_salvador","dominican_republic","all_other"
"2014","Total","48860","30","130","4650","7990","3270","6540","470","760","18800","300","5920"
"2014","October","3720","0","10","370","490","300","380","60","60","1500","10","550"
"2014","November","3210","0","20","260","410","260","390","40","50","1210","20","550"
"2014","December","3390","0","10","310","440","240","510","50","60","1170","30","590"
"2014","January","3090","0","20","290","460","230","520","30","40","810","30","660"
"2014","February","2700","0","10","260","490","200","430","20","30","770","30","460"
"2014","March","3340","0","10","330","560","230","490","30","70","1190","20","420"
"2014","April","4870","0","10","380","840","310","540","50","70","2120","30","530"
"2014","May","4740","0","10","370","960","380","600","50","70","1840","30","430"
"2014","June","5730","10","10","380","1100","400","760","40","70","2370","40","550"
"2014","July","5420","0","10","440","1030","280","790","50","100","2300","20","400"
"2014","August","4690","10","20","530","750","230","670","40","80","1950","20","400"
"2014","September","3970","0","10","750","480","210","470","40","60","1570","10","380"
"2015","Total","45970","20","150","6880","7390","1670","7060","280","490","14090","160","7790"
"2015","October","3430","0","10","710","480","140","370","40","50","1140","10","480"
"2015","November","2650","0","10","550","330","110","350","20","30","740","20","500"
"2015","December","2960","10","20","630","320","140","350","20","40","780","10","650"
"2015","January","3230","0","10","670","410","170","620","30","40","710","20","560"
"2015","February","2530","0","10","570","300","120","370","20","20","570","10","540"
"2015","March","3220","0","10","670","460","160","440","20","50","820","20","570"
"2015","April","3440","0","10","440","490","180","570","30","50","1000","10","660"
"2015","May","3780","0","10","500","670","120","600","20","40","1160","10","660"
"2015","June","4870","0","10","530","880","170","810","20","30","1650","10","750"
"2015","July","4490","0","10","520","640","130","700","20","60","1540","10","860"
"2015","August","4940","0","20","520","1030","120","770","10","40","1730","10","690"
"2015","September","6440","0","10","560","1400","130","1110","30","50","2250","20","880"
"2016","Total","91460","70","200","7580","19650","1930","15590","340","650","32570","340","12550"
"2016","October","6550","0","20","480","1360","130","1020","30","40","2600","40","820"
"2016","November","5910","0","10","420","1320","110","980","20","30","2280","20","710"
"2016","December","8440","10","10","520","2110","140","1500","20","50","3250","20","800"
"2016","January","6140","10","10","530","1100","180","1040","30","60","2090","50","1040"
"2016","February","5050","10","10","560","850","170","780","20","50","1480","30","1100"
"2016","March","7080","10","20","840","1380","100","1080","20","60","2280","40","1260"
"2016","April","7520","10","10","920","1410","140","1100","30","40","2560","30","1280"
"2016","May","8260","10","20","700","1580","180","1140","30","50","3030","30","1490"
"2016","June","8240","10","10","610","1790","170","1440","40","50","2930","20","1190"
"2016","July","8310","10","20","620","1940","230","1450","30","50","3040","30","890"
"2016","August","10200","10","20","720","2510","230","2110","30","90","3520","10","960"
"2016","September","9770","10","20","670","2310","160","1950","40","80","3520","10","1000"
"2017","Total","76300","160","140","4820","16670","1210","15850","300","560","20050","40","16500"
"2017","October","10020","10","30","540","2370","150","1780","30","70","3360","0","1680"
"2017","November","8850","10","20","320","2070","120","1610","20","70","2930","0","1680"
"2017","December","8830","10","10","320","2040","160","1430","50","80","2640","10","2070"
"2017","January","9750","20","20","280","2170","190","1690","50","80","2770","10","2490"
"2017","February","5990","10","10","280","1200","150","1070","30","50","1690","10","1500"
"2017","March","5920","10","10","600","1140","130","1230","10","50","1300","0","1440"
"2017","April","2360","20","0","210","370","30","420","10","20","570","0","710"
"2017","May","3660","20","10","290","710","30","750","20","20","880","0","940"
"2017","June","4020","20","10","360","900","50","950","20","20","850","10","850"
"2017","July","4630","20","10","400","1050","80","1430","20","30","840","0","760"
"2017","August","6030","10","10","620","1350","60","1780","20","30","1080","0","1080"
"2017","September","6250","20","10","590","1310","70","1730","40","40","1150","0","1300"
"2018","Total","96480","300","110","6500","25870","1160","24850","360","1760","13460","100","22020"
"2018","October","7090","20","10","680","1380","70","2080","10","30","1120","10","1670"
"2018","November","7180","20","0","520","1500","80","2130","30","40","1220","0","1620"
"2018","December","7240","20","10","450","1570","80","2240","20","50","1150","0","1650"
"2018","January","7970","30","10","620","1940","110","2340","30","40","1060","10","1800"
"2018","February","6470","20","0","640","1650","90","1980","20","40","750","10","1260"
"2018","March","8020","10","10","740","2300","110","2300","40","60","940","10","1520"
"2018","April","8240","30","10","590","2660","100","2000","50","60","1020","10","1730"
"2018","May","9720","30","20","670","3080","120","2490","30","80","1300","0","1890"
"2018","June","9520","30","10","410","3150","140","2330","40","110","1410","10","1900"
"2018","July","6330","30","10","430","1550","80","1350","30","220","920","0","1710"
"2018","August","9970","40","20","420","2590","100","1960","20","450","1320","20","3050"
"2018","September","8730","30","10","330","2500","80","1670","40","590","1260","20","2220"
"2019","Total","102330","1980","180","4320","25790","3570","14590","310","4790","12770","170","33880"
"2019","October","9100","60","10","380","2340","120","1780","30","650","1260","30","2450"
"2019","November","7700","90","10","330","1780","150","1370","30","630","960","30","2330"
"2019","December","7840","80","10","330","1800","180","1630","30","430","920","10","2430"
"2019","January","9590","90","10","320","3260","320","1700","20","440","1130","10","2310"
"2019","February","7790","120","10","300","2880","330","1220","20","320","790","10","1780"
"2019","March","7040","120","10","290","2180","380","980","20","380","950","20","1710"
"2019","April","8020","140","20","290","2020","460","1110","30","360","990","10","2580"
"2019","May","9920","200","20","320","2070","360","1200","30","390","1260","10","4060"
"2019","June","10570","210","20","310","2230","360","1320","20","330","1250","10","4520"
"2019","July","11300","310","30","390","2180","420","1140","30","460","1530","20","4810"
"2019","August","8870","340","10","490","2350","320","770","20","300","1310","20","2940"
"2019","September","4590","250","0","570","700","170","360","10","100","430","0","1980"
"2020","Total","29240","420","50","7120","2110","1560","4710","110","320","1670","50","11130"
"2020","October","5880","130","10","1160","700","260","860","20","90","500","10","2130"
"2020","November","3280","20","10","920","200","130","550","20","40","220","10","1170"
"2020","December","4190","70","10","1040","340","210","730","10","40","320","10","1400"
"2020","January","4580","60","0","1260","220","220","760","20","30","160","0","1860"
"2020","February","4430","60","10","1560","160","160","790","10","20","150","0","1510"
"2020","March","3460","40","10","1000","280","250","620","20","30","210","10","980"
"2020","April","650","10","0","40","70","130","100","10","10","30","0","250"
"2020","May","450","0","0","30","20","60","50","0","10","10","0","260"
"2020","June","630","10","0","20","40","20","80","0","10","20","0","420"
"2020","July","650","10","0","30","20","10","60","0","0","20","0","510"
"2020","August","470","0","0","20","30","20","60","0","10","20","0","300"
"2020","September","580","10","0","40","10","90","60","0","20","10","0","340"
"2021","Total","56860","11350","960","480","880","2550","950","370","12570","350","340","26060"
"2021","October","540","20","0","40","20","70","80","0","10","10","0","280"
"2021","November","530","30","10","50","20","90","60","0","20","20","10","240"
"2021","December","890","30","10","50","30","130","70","10","60","20","20","460"
"2021","January","1130","60","10","40","90","160","80","10","50","40","30","570"
"2021","February","2350","260","20","30","90","130","100","20","170","30","20","1470"
"2021","March","5070","770","40","40","70","200","90","30","290","30","40","3480"
"2021","April","6440","1380","50","30","100","170","90","30","560","30","30","3970"
"2021","May","7240","2200","40","30","100","240","80","40","820","30","20","3650"
"2021","June","9870","3220","110","50","100","360","80","60","1660","30","50","4160"
"2021","July","8300","1810","110","30","70","330","80","60","2840","30","50","2910"
"2021","August","8480","1150","230","70","100","370","60","60","3850","50","30","2520"
"2021","September","6020","410","350","40","90","300","70","60","2250","40","40","2360"
"2022","Total","64340","2930","15410","420","1430","3380","1340","4880","11510","600","1950","20500"
"2022","October","7820","980","530","20","80","140","40","110","3710","30","90","2080"
"2022","November","6930","310","1010","30","100","70","50","210","3140","30","110","1880"
"2022","December","3810","70","850","30","40","70","50","160","290","20","110","2130"
"2022","January","3780","50","640","40","50","80","30","150","170","30","90","2450"
"2022","February","2440","50","620","20","70","90","30","140","170","20","70","1160"
"2022","March","3650","60","1020","30","60","80","70","210","520","30","110","1470"
"2022","April","3660","20","1120","40","320","150","390","250","300","110","110","840"
"2022","May","6910","10","2190","40","460","560","380","550","520","100","120","1990"
"2022","June","5930","40","2040","40","70","450","90","660","230","60","190","2060"
"2022","July","5390","50","1800","30","70","470","70","740","590","40","220","1310"
"2022","August","7030","130","2140","50","60","630","60","890","1000","80","340","1660"
"2022","September","6990","1160","1450","50","60","610","70","820","870","60","390","1450"
"2023","Total","144960","20600","29930","3500","11480","14440","7030","13910","2330","3550","8760","29450"
"2023","October","9210","850","2900","60","80","910","70","1280","510","50","720","1790"
"2023","November","7000","130","2040","60","80","1000","50","580","220","70","800","1980"
"2023","December","4720","100","720","50","60","430","80","340","230","50","550","2110"
"2023","January","10110","110","2350","200","70","1330","60","700","170","70","2230","2830"
"2023","February","9750","120","3840","80","70","920","90","990","90","50","1680","1810"
"2023","March","9290","90","4420","50","70","760","70","1310","70","50","810","1590"
"2023","April","7240","250","3190","30","200","720","100","1120","40","80","270","1230"
"2023","May","17820","2060","4580","170","2710","1160","1250","2230","150","830","490","2190"
"2023","June","16790","4270","1700","410","2510","1300","1170","1280","90","560","330","3180"
"2023","July","15640","3960","1360","560","1900","1600","1150","1100","120","610","240","3030"
"2023","August","19670","4140","1560","1000","2130","2490","1730","1300","250","680","340","4040"
"2023","September","17740","4530","1290","830","1600","1820","1210","1660","380","440","310","3680"
"2024 YTD","Total","112410","16830","11680","18930","9580","11960","11820","8370","7000","2970","2390","10880"
"2024 YTD","October","20610","6790","2120","1240","1950","1440","1360","1710","670","580","260","2500"
"2024 YTD","November","14760","3100","1440","1300","2170","960","1460","1020","440","730","220","1920"
"2024 YTD","December","9790","2000","1060","860","880","730","940","1170","430","300","250","1180"
"2024 YTD","January","14670","1920","930","3120","1240","1080","1920","660","1620","300","390","1480"
"2024 YTD","February","17600","930","2310","3550","1390","1560","2690","1030","2170","450","460","1060"
"2024 YTD","March","17440","820","1970","4700","1070","2380","2320","1200","1090","300","390","1210"
"2024 YTD","April","17540","1260","1840","4170","900","3800","1150","1570","590","310","410","1540"
